uuid,difficulty,label
f1140c84-b66d-490e-9d83-3de6d176eb54,easy,Not matching number of columns
3cda7385-21da-4f07-abde-73f56b1349a0,easy,Everything matches
c83b36a8-ef82-457d-b1d6-02d545d29bbc,easy,Not matching number of rows
062cd950-c5ed-4e87-813b-52cad44d2c5e,easy,Everything matches
4c5c111e-4f35-4ce4-8b66-cbd766a6f310,easy,Everything matches
9cc40573-ad05-4c35-b394-299be6964d46,easy,Not matching number of rows
53027735-3f07-4adb-a8a3-b78d9ada5676,easy,Everything matches
9d371810-66c5-4696-a6ed-857f99475c7e,easy,Not matching number of columns
f982df31-d473-49d5-9bcd-12c1d3561eb6,easy,Everything matches
187f8866-9b52-45b9-b5d2-2cfeebf5d495,easy,Everything matches
db5f1c75-e149-4210-826f-6e1dccf7725d,easy,Everything matches
79e12197-f44c-43ea-9c97-67f51a473bd7,easy,Everything matches
98792c89-cae4-4298-b795-c79e2370f712,easy,Everything matches
3080029d-8559-4016-b50b-8199996248ce,easy,Everything matches
982ba9e1-cfce-4cfc-bed5-750ba378ed8a,easy,Everything matches
59e5d8aa-300d-4a1a-9629-e0fe566459b7,easy,Everything matches
5f1d9bf6-a244-498b-853b-cae76b3d16f2,easy,Everything matches
824f809c-a611-41d7-ad15-4bfaad97d1cb,easy,Everything matches
56190d33-c39e-4bcf-8560-7f53438d3dcb,easy,Not matching number of rows
adb8be8e-6d37-4b7e-bc1e-511e4bb2437a,easy,Everything matches
54d06772-c15c-4ff4-95dc-8c127270eca4,easy,Everything matches
9536c50d-7d7e-4214-a08b-5739fbf47a3d,easy,Everything matches
0ee3ed2a-6a50-41a0-bc46-c1687b8fcd18,easy,Everything matches
81458735-6b3d-469c-98fc-0934c4bfd524,easy,Everything matches
1e58a7d0-fb6b-46c7-927b-c48f719e9f0c,easy,Everything matches
dd708062-a3f4-4363-bac1-3e619a07ab59,easy,Not matching number of columns
bfe74843-ebd6-490d-9779-a6c9f52396cc,easy,Not matching number of rows
e54b25a5-2b79-48a8-b29c-47bd764eac70,easy,Everything matches
6b233993-1821-486b-bae6-6736b5c152a5,easy,Not matching number of rows
fede62ca-dc15-4370-9c70-a929528257b4,easy,Everything matches
0a8f6dd8-39f4-44fe-a449-7cd3546530cc,easy,Everything matches
