database_name,query,difficulty,uuid,query_short,query_business,query_technical
sakila,"Показать 20 последних платежей клиентов на сумму более 8.00, отсортировав их по дате платежа от новых к старым.",easy,f1140c84-b66d-490e-9d83-3de6d176eb54,"Скрипт для 20 последних платежей клиентов на сумму более 8.00, отсортированных по дате платежа от новых к старым.","Скрипт для оперативного отбора последних платежей клиентов проката, отражающих поступления за аренду на суммы более 8.00, с упорядочением по времени платежа от самых новых к более ранним для контроля выручки и анализа значимых операций по оплате.","Скрипт для выборки 20 последних записей из pay по p06 с условием p05 > 8.00, с упорядочением по p06 по убыванию."
sakila,"Показать 10 самых крупных платежей клиентов за июнь 2005 года с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отсортировав по сумме убыванию.",easy,3cda7385-21da-4f07-abde-73f56b1349a0,"Скрипт для 10 крупнейших платежей клиентов за июнь 2005 года с идентификатором платежа, идентификатором клиента, суммой и датой платежа.","Скрипт для отчёта по платежам клиентов за июнь 2005 года, который выделяет наиболее крупные поступления по аренде с указанием идентификатора платежа, клиента, суммы и даты операции, чтобы поддерживать контроль денежных потоков и анализ клиентской активности в прокате.","Скрипт для отбора 10 записей из pay по наибольшему p05 за июнь 2005 года с возвратом p01, p02, p05 и p06, фильтрацией по диапазону p06 и сортировкой по p05 по убыванию."
sakila,"Показать 10 самых крупных платежей клиентов за июнь 2005 года с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отсортировав по сумме по убыванию.",easy,c83b36a8-ef82-457d-b1d6-02d545d29bbc,"Скрипт для 10 самых крупных платежей клиентов за июнь 2005 года с идентификатором платежа, идентификатором клиента, суммой и датой платежа, по сумме по убыванию.","Скрипт для анализа платежей клиентов за июнь 2005 года, выделяющий самые крупные суммы в журнале оплаты аренды и позволяющий использовать их для контроля денежных поступлений и оценки активности клиентов.","Скрипт для отбора 10 записей из pay по платежам за июнь 2005 года, с выборкой p01, p02, p05 и p06, фильтрацией по p06 в пределах 2005-06, и сортировкой по p05 по убыванию."
sakila,"Показать идентификатор платежа, клиента, сотрудника, сумму и дату платежа для операций на сумму больше 8.00, отсортировав их по сумме по убыванию и вывести первые 20 записей.",easy,062cd950-c5ed-4e87-813b-52cad44d2c5e,"Скрипт для платежей клиентов на сумму больше 8.00, отсортированных по сумме по убыванию, с первыми 20 записями","Скрипт для отчёта по платежам клиентов за аренду, отбирающий операции на сумму больше 8.00, чтобы выделить наиболее крупные платежи и использовать их для контроля денежных поступлений и анализа активности клиентов и сотрудников, принявших оплату; результаты упорядочиваются по сумме по убыванию и ограничиваются первыми 20 записями.","Скрипт для отбора записей из pay по условию p05 > 8.00 с выборкой p01, p02, p03, p05 и p06, сортировкой по p05 по убыванию и ограничением результата первыми 20 строками."
sakila,"Показать 20 крупнейших платежей клиентов с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отсортировав их по сумме по убыванию.",easy,4c5c111e-4f35-4ce4-8b66-cbd766a6f310,"Скрипт для 20 крупнейших платежей клиентов по сумме с выводом идентификатора платежа, идентификатора клиента, суммы и даты платежа.","Скрипт для отчёта по платежам клиентов за аренду, отражающего наиболее крупные поступления по сумме с указанием идентификатора платежа, клиента и даты платежа, чтобы использовать этот срез для контроля денежных операций и анализа самых значимых оплат в прокате.","Скрипт для отбора 20 строк из pay с полями p01, p02, p05 и p06, отсортированных по p05 по убыванию."
sakila,"Показать последние 10 платежей клиентов на сумму более 9.00, указав идентификатор платежа, клиента, сотрудника, сумму и дату платежа, отсортировав по дате платежа от новых к старым.",easy,9cc40573-ad05-4c35-b394-299be6964d46,"Скрипт для последних 10 платежей клиентов на сумму более 9.00 с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, по дате платежа от новых к старым.","Скрипт для отчёта по последним платежам клиентов за аренду, позволяющий отобрать наиболее свежие операции с суммой свыше 9.00 и связать их с клиентом, сотрудником, принявшим платёж, и датой платежа для контроля денежного потока и анализа оплаты аренды.","Скрипт для отбора последних 10 записей из pay по p06, где p05 больше 9.00, с выводом p01, p02, p03, p05 и p06, отсортированных по p06 по убыванию."
sakila,"Показать 20 последних платежей на сумму больше 8.00 с идентификатором клиента, идентификатором платежа, суммой и датой платежа, отсортировав их по дате платежа от новых к старым.",easy,53027735-3f07-4adb-a8a3-b78d9ada5676,"Скрипт для 20 последних платежей клиента на сумму больше 8.00 с идентификатором платежа, суммой и датой платежа, отсортированных по дате платежа от новых к старым.","Скрипт для отбора последних платежей клиентов с суммой больше 8.00, чтобы использовать их в контроле расчётов по аренде и анализе недавней платёжной активности; в результат включаются идентификатор клиента, идентификатор платежа, сумма и дата и время платежа, а упорядочивание выполняется от самых новых операций к более ранним.","Скрипт для выборки из pay 20 последних платежей с p05 > 8.00, с выводом p02, p01, p05 и p06, упорядоченных по p06 по убыванию."
sakila,"Показать 20 последних платежей на сумму больше 8.00 с идентификатором клиента, сотрудника, аренды, суммой и датой платежа, отсортировав их по дате платежа от новых к старым.",easy,9d371810-66c5-4696-a6ed-857f99475c7e,"Скрипт для 20 последних платежей на сумму больше 8.00 с клиентом, сотрудником, арендой, суммой и датой платежа по убыванию даты.","Скрипт для оперативного отчёта по последним платежам клиентов за аренду, отбирающий самые свежие операции с суммой больше 8.00 и содержащий сведения о клиенте, сотруднике, принятой аренде, сумме и дате платежа для контроля денежных поступлений и анализа расчётов по прокату.","Скрипт для отбора 20 последних строк из pay по p06, с фильтром p05 > 8.00 и выборкой p02, p03, p04, p05, p06; сортировка по p06 по убыванию."
sakila,"Показать 20 последних платежей клиентов с суммой больше 8.00, указав идентификатор платежа, идентификатор клиента, сумму и дату платежа, отсортировав по дате платежа от новых к старым.",easy,f982df31-d473-49d5-9bcd-12c1d3561eb6,"Скрипт для 20 последних платежей клиентов с суммой больше 8.00, с идентификатором платежа, идентификатором клиента, суммой и датой платежа, по дате платежа от новых к старым.","Скрипт для отчёта по последним платежам клиентов за аренду: позволяет отобрать 20 самых свежих операций с суммой более 8.00 и использовать их для контроля денежных поступлений по клиентам, с указанием идентификатора платежа, клиента, суммы и даты платежа в порядке от новых записей к старым.","Скрипт для отбора 20 последних строк из pay по p06 с условием p05 > 8.00, с выборкой p01, p02, p05 и p06 и сортировкой по p06 по убыванию."
sakila,"Показать последние 20 клиентских платежей с суммой больше 8.00, выведя идентификатор платежа, идентификатор клиента, сумму и дату платежа, отсортированные по дате платежа от новых к старым.",easy,187f8866-9b52-45b9-b5d2-2cfeebf5d495,"Скрипт для последних 20 платежей клиентов с суммой больше 8.00, с идентификатором платежа, идентификатором клиента, суммой и датой платежа по убыванию даты.","Скрипт для оперативного просмотра последних клиентских платежей по аренде с суммой свыше 8.00, чтобы контролировать денежные поступления, связанные с оплатой проката, и отслеживать свежие операции в разрезе клиента, суммы и даты платежа, от новых к более ранним.","Скрипт для отбора последних 20 записей из pay с условием p05 > 8.00, с выборкой p01, p02, p05 и p06 и сортировкой по p06 по убыванию."
