p01,p02,p03,p04,p05,p06
1254,45,1,15812,10.99,2005-08-23 14:47:26.000
1347,49,2,8553,10.99,2005-07-29 11:15:36.000
1379,50,2,9691,10.99,2005-07-31 07:09:55.000
1511,54,1,15226,10.99,2005-08-22 17:20:17.000
15821,591,2,4383,11.99,2005-07-07 20:45:51.000
15850,592,1,3973,11.99,2005-07-06 22:58:31.000
3146,116,2,14763,11.99,2005-08-21 23:34:00.000
324,12,2,10392,10.99,2005-08-01 06:50:26.000
342,13,2,8831,11.99,2005-07-29 22:37:41.000
44,2,2,9236,10.99,2005-07-30 13:47:43.000
5280,195,2,16040,11.99,2005-08-23 22:19:33.000
5281,196,2,106,11.99,2005-05-25 18:18:19.000
551,21,1,3212,10.99,2005-06-21 01:04:35.000
5550,204,2,15415,11.99,2005-08-22 23:48:56.000
6409,237,2,11479,11.99,2005-08-02 22:18:13.000
69,3,2,7503,10.99,2005-07-27 20:23:12.000
793,29,2,5442,10.99,2005-07-09 21:55:19.000
8272,305,1,2166,11.99,2005-06-17 23:51:21.000
908,33,1,1301,10.99,2005-06-15 09:46:33.000
9803,362,1,14759,11.99,2005-08-21 23:28:58.000
