amount,customer_id,payment_date,payment_id,staff_id
10.99,45,2005-08-23 14:47:26.000,1254,1
11.99,195,2005-08-23 22:19:33.000,5280,2
8.97,75,2006-02-14 15:16:03.000,2059,2
8.99,103,2005-08-23 22:43:07.000,2799,2
8.99,128,2005-08-23 15:25:27.000,3469,1
8.99,147,2005-08-23 11:32:35.000,4010,1
8.99,173,2005-08-23 13:25:44.000,4716,1
8.99,210,2005-08-23 18:48:40.000,5718,2
8.99,311,2005-08-23 21:34:33.000,8454,1
8.99,412,2005-08-23 13:41:05.000,11168,1
8.99,536,2005-08-23 20:08:18.000,14451,1
8.99,537,2005-08-23 15:21:35.000,14476,1
9.98,60,2006-02-14 15:16:03.000,1670,2
9.99,137,2005-08-23 21:56:04.000,3719,1
9.99,311,2005-08-23 15:15:02.000,8453,2
9.99,327,2005-08-23 17:56:01.000,8849,1
9.99,389,2005-08-23 21:11:33.000,10554,2
9.99,424,2005-08-23 18:46:44.000,11478,2
9.99,526,2005-08-23 22:21:03.000,14180,1
9.99,57,2005-08-23 16:24:24.000,1592,2
