customer_id,amount,payment_date
42,5.98,2006-02-14 15:16:03.000
53,7.98,2006-02-14 15:16:03.000
60,9.98,2006-02-14 15:16:03.000
75,8.97,2006-02-14 15:16:03.000
155,7.98,2006-02-14 15:16:03.000
163,7.98,2006-02-14 15:16:03.000
208,5.98,2006-02-14 15:16:03.000
216,5.98,2006-02-14 15:16:03.000
267,7.98,2006-02-14 15:16:03.000
284,5.98,2006-02-14 15:16:03.000
354,7.98,2006-02-14 15:16:03.000
516,5.98,2006-02-14 15:16:03.000
560,5.98,2006-02-14 15:16:03.000
576,5.98,2006-02-14 15:16:03.000
103,8.99,2005-08-23 22:43:07.000
526,9.99,2005-08-23 22:21:03.000
195,11.99,2005-08-23 22:19:33.000
45,7.99,2005-08-23 22:13:04.000
226,5.99,2005-08-23 22:06:15.000
137,9.99,2005-08-23 21:56:04.000
