amount,customer_id,payment_date,rental_id,staff_id
10.99,45,2005-08-23 14:47:26.000,15812,1
11.99,195,2005-08-23 22:19:33.000,16040,2
8.97,75,2006-02-14 15:16:03.000,13534,2
8.99,103,2005-08-23 22:43:07.000,16048,2
8.99,128,2005-08-23 15:25:27.000,15835,1
8.99,147,2005-08-23 11:32:35.000,15730,1
8.99,173,2005-08-23 13:25:44.000,15775,1
8.99,210,2005-08-23 18:48:40.000,15942,2
8.99,311,2005-08-23 21:34:33.000,16020,1
8.99,412,2005-08-23 13:41:05.000,15781,1
8.99,536,2005-08-23 20:08:18.000,15978,1
8.99,537,2005-08-23 15:21:35.000,15832,1
9.98,60,2006-02-14 15:16:03.000,12489,2
9.99,137,2005-08-23 21:56:04.000,16030,1
9.99,311,2005-08-23 15:15:02.000,15826,2
9.99,327,2005-08-23 17:56:01.000,15916,1
9.99,389,2005-08-23 21:11:33.000,16011,2
9.99,424,2005-08-23 18:46:44.000,15941,2
9.99,526,2005-08-23 22:21:03.000,16043,1
9.99,57,2005-08-23 16:24:24.000,15871,2
