amount,customer_id,payment_date,payment_id,staff_id
10.99,21,2005-06-21 01:04:35.000,551,1
10.99,221,2005-06-19 10:50:02.000,5979,1
10.99,260,2005-06-17 18:09:04.000,7017,1
10.99,289,2005-06-19 18:40:29.000,7817,1
10.99,33,2005-06-15 09:46:33.000,908,1
10.99,477,2005-06-18 08:33:23.000,12888,1
10.99,511,2005-06-20 07:39:33.000,13761,2
10.99,516,2005-06-16 14:52:02.000,13892,1
10.99,542,2005-06-20 06:53:47.000,14580,2
10.99,544,2005-06-15 18:30:46.000,14620,2
10.99,550,2005-06-21 05:18:27.000,14754,1
10.99,558,2005-06-21 21:10:39.000,14939,2
10.99,571,2005-06-20 08:15:27.000,15295,1
10.99,572,2005-06-17 04:05:12.000,15313,2
11.99,305,2005-06-17 23:51:21.000,8272,1
9.99,1,2005-06-15 21:08:46.000,5,2
9.99,26,2005-06-17 18:14:08.000,689,1
9.99,48,2005-06-16 12:18:41.000,1315,2
9.99,49,2005-06-15 04:44:10.000,1334,2
9.99,87,2005-06-20 18:25:57.000,2364,2
