p01,p02,p03,p05,p06
342,13,2,11.99,2005-07-29 22:37:41.000
15821,591,2,11.99,2005-07-07 20:45:51.000
15850,592,1,11.99,2005-07-06 22:58:31.000
44,2,2,10.99,2005-07-30 13:47:43.000
69,3,2,10.99,2005-07-27 20:23:12.000
793,29,2,10.99,2005-07-09 21:55:19.000
1347,49,2,10.99,2005-07-29 11:15:36.000
1379,50,2,10.99,2005-07-31 07:09:55.000
2341,86,1,10.99,2005-07-28 10:21:52.000
3078,114,1,10.99,2005-07-29 12:32:20.000
4026,148,2,10.99,2005-07-12 16:37:55.000
4071,149,1,10.99,2005-07-09 15:36:17.000
4431,163,1,10.99,2005-07-10 03:54:38.000
4834,178,1,10.99,2005-07-09 05:59:47.000
5082,187,2,10.99,2005-07-06 10:26:56.000
5306,196,2,10.99,2005-07-31 21:29:28.000
5507,203,2,10.99,2005-07-30 05:21:32.000
5757,212,2,10.99,2005-07-08 11:59:19.000
5961,220,2,10.99,2005-07-30 22:20:29.000
6260,232,2,10.99,2005-07-30 17:44:24.000
