metric,column,k,value
mrr,predicted_short,5,0.5169642857142858
map_at_k,predicted_short,5,0.5169642857142858
recall_at_k,predicted_short,5,0.7678571428571429
mrr,predicted_business,5,0.522420634920635
map_at_k,predicted_business,5,0.522420634920635
recall_at_k,predicted_business,5,0.7738095238095238
mrr,predicted_technical,5,0.5449404761904761
map_at_k,predicted_technical,5,0.5449404761904761
recall_at_k,predicted_technical,5,0.8154761904761905
mrr,combined,5,0.5464783893355323
map_at_k,combined,5,0.5169642857142858
recall_at_k,combined,5,0.7678571428571429
num_queries,all,5,168
