metric,column,k,value
mrr,predicted_short,5,0.5081349206349206
map_at_k,predicted_short,5,0.5081349206349206
recall_at_k,predicted_short,5,0.7678571428571429
mrr,predicted_business,5,0.5445436507936509
map_at_k,predicted_business,5,0.5445436507936509
recall_at_k,predicted_business,5,0.7738095238095238
mrr,predicted_technical,5,0.4987103174603175
map_at_k,predicted_technical,5,0.4987103174603175
recall_at_k,predicted_technical,5,0.7857142857142857
mrr,combined,5,0.5390286796536798
map_at_k,combined,5,0.5081349206349206
recall_at_k,combined,5,0.7678571428571429
num_queries,all,5,168
