database_name,query,difficulty,uuid,query_short,query_business,query_technical,query_short_related,query_business_related,query_technical_related,variant_index,true_qdrant_uuid,predicted_short,predicted_business,predicted_technical
sakila,"Показать идентификатор платежа, идентификатор клиента, сумму и дату платежа для всех платежей на сумму больше 8.00, отсортировав их по сумме по убыванию.",easy,48311c49-4ade-408c-b1d9-99752bbc105d,"Скрипт для формирования списка платежей с суммой больше 8.00, включая идентификатор платежа, идентификатор клиента, сумму и дату платежа, отсортированных по сумме по убыванию.","Скрипт для формирования списка платежей клиентов с суммой больше 8.00 с указанием идентификатора платежа, клиента, суммы и даты операции, отсортированного по сумме в порядке убывания.","Скрипт для формирования списка платежей с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отфильтрованных по сумме больше 8.00 и отсортированных по сумме в порядке убывания.","Скрипт для отображения идентификатора платежа, идентификатора клиента и суммы для платежей с суммой меньше 5.00, отсортированных по сумме по возрастанию.","Выявить все транзакции с суммой платежа свыше 8.00 для анализа крупных списаний по клиентам, отсортировав их от наибольшей суммы к наименьшей для приоритизации при мониторинге подозрительных операций.","Отобразить идентификатор платежа, идентификатор сотрудника, сумму и дату платежа для всех платежей, у которых сумма меньше 3.00, упорядочив их по дате платежа от самой ранней к самой поздней.",0,c35c933b-1acc-5e76-b8d0-0088106e46ad-sql,c075474a-2169-5a3a-99a8-db6ff1c22a29-sql;014ae64a-c12a-5b5a-b27e-ae85d129fedc-sql;dd50b6ce-3ff2-5397-a29a-ce6dcd913bae-sql;a06aefd1-4dab-51f3-8aa4-eccc1ee41cbd-sql;c35c933b-1acc-5e76-b8d0-0088106e46ad-sql,2cbeb819-e994-520f-b0df-fd0cbff51808-sql;e79c18bc-418f-5fd4-9972-7e34cd61cc4a-sql;c35c933b-1acc-5e76-b8d0-0088106e46ad-sql;014ae64a-c12a-5b5a-b27e-ae85d129fedc-sql;a06aefd1-4dab-51f3-8aa4-eccc1ee41cbd-sql,014ae64a-c12a-5b5a-b27e-ae85d129fedc-sql;dd50b6ce-3ff2-5397-a29a-ce6dcd913bae-sql;758f6a5c-fb42-58c4-8bde-45004bd52662-sql;c075474a-2169-5a3a-99a8-db6ff1c22a29-sql;70125e64-c3a3-5a78-945c-1db179627269-sql
sakila,"Показать идентификатор платежа, идентификатор клиента, сумму и дату платежа для всех платежей на сумму больше 8.00, отсортировав их по сумме по убыванию.",easy,48311c49-4ade-408c-b1d9-99752bbc105d,"Скрипт для формирования списка платежей с суммой больше 8.00, включая идентификатор платежа, идентификатор клиента, сумму и дату платежа, отсортированных по сумме по убыванию.","Скрипт для формирования списка платежей клиентов с суммой больше 8.00 с указанием идентификатора платежа, клиента, суммы и даты операции, отсортированного по сумме в порядке убывания.","Скрипт для формирования списка платежей с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отфильтрованных по сумме больше 8.00 и отсортированных по сумме в порядке убывания.","Скрипт для вывода идентификатора платежа, имени клиента, суммы и даты платежа для всех платежей, принятых сотрудником с идентификатором 1, отсортированных по дате платежа по возрастанию.","Для анализа транзакций с высокой суммой и контроля корректности начислений подготовить отчёт, включающий идентификатор платежа, клиента, сумму и дату для всех платежей на сумму более 9.99 долларов, отсортировав их по возрастанию суммы.","Вывести идентификатор платежа, идентификатор сотрудника, сумму и дату платежа для платежей с суммой менее 5.00, отсортировав их по дате платежа по возрастанию.",1,c35c933b-1acc-5e76-b8d0-0088106e46ad-sql,014ae64a-c12a-5b5a-b27e-ae85d129fedc-sql;dd50b6ce-3ff2-5397-a29a-ce6dcd913bae-sql;aaba7f4e-f0ff-5f8e-b937-feb2aebcb6ef-sql;a06aefd1-4dab-51f3-8aa4-eccc1ee41cbd-sql;5259df29-82da-5d5f-99fd-a8b1042e7cbd-sql,c35c933b-1acc-5e76-b8d0-0088106e46ad-sql;dd50b6ce-3ff2-5397-a29a-ce6dcd913bae-sql;2cbeb819-e994-520f-b0df-fd0cbff51808-sql;014ae64a-c12a-5b5a-b27e-ae85d129fedc-sql;e79c18bc-418f-5fd4-9972-7e34cd61cc4a-sql,dd50b6ce-3ff2-5397-a29a-ce6dcd913bae-sql;c075474a-2169-5a3a-99a8-db6ff1c22a29-sql;014ae64a-c12a-5b5a-b27e-ae85d129fedc-sql;70125e64-c3a3-5a78-945c-1db179627269-sql;758f6a5c-fb42-58c4-8bde-45004bd52662-sql
sakila,"Показать идентификатор платежа, идентификатор клиента, сумму и дату платежа для всех платежей на сумму больше 8.00, отсортировав их по сумме по убыванию.",easy,48311c49-4ade-408c-b1d9-99752bbc105d,"Скрипт для формирования списка платежей с суммой больше 8.00, включая идентификатор платежа, идентификатор клиента, сумму и дату платежа, отсортированных по сумме по убыванию.","Скрипт для формирования списка платежей клиентов с суммой больше 8.00 с указанием идентификатора платежа, клиента, суммы и даты операции, отсортированного по сумме в порядке убывания.","Скрипт для формирования списка платежей с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отфильтрованных по сумме больше 8.00 и отсортированных по сумме в порядке убывания.","Скрипт для отображения идентификатора платежа, идентификатора клиента и суммы для всех платежей на сумму меньше 5.00, отсортированных по сумме по возрастанию.","Отчёт о всех платежах на сумму более 6 долларов, отсортированных по дате платежа в порядке убывания, с указанием идентификатора платежа, клиента и суммы, для анализа динамики поступлений.","Выбрать идентификатор платежа, идентификатор сотрудника, сумму платежа и дату для всех платежей, сумма которых меньше 3.00, упорядочив записи по дате платежа в порядке возрастания.",2,c35c933b-1acc-5e76-b8d0-0088106e46ad-sql,c075474a-2169-5a3a-99a8-db6ff1c22a29-sql;014ae64a-c12a-5b5a-b27e-ae85d129fedc-sql;dd50b6ce-3ff2-5397-a29a-ce6dcd913bae-sql;a06aefd1-4dab-51f3-8aa4-eccc1ee41cbd-sql;7bd948b3-a57b-5182-b882-e638fc09454b-sql,c35c933b-1acc-5e76-b8d0-0088106e46ad-sql;dd50b6ce-3ff2-5397-a29a-ce6dcd913bae-sql;aaba7f4e-f0ff-5f8e-b937-feb2aebcb6ef-sql;bafc8eab-f07b-54f0-8b98-225791ebb1d5-sql;014ae64a-c12a-5b5a-b27e-ae85d129fedc-sql,c35c933b-1acc-5e76-b8d0-0088106e46ad-sql;dd50b6ce-3ff2-5397-a29a-ce6dcd913bae-sql;014ae64a-c12a-5b5a-b27e-ae85d129fedc-sql;c075474a-2169-5a3a-99a8-db6ff1c22a29-sql;70125e64-c3a3-5a78-945c-1db179627269-sql
sakila,"Показать 10 самых крупных платежей клиентов с указанием идентификатора платежа, идентификатора клиента, суммы и даты платежа, отсортировав по сумме по убыванию",easy,1f20ef88-9279-4248-9373-dd67f628e895,"Скрипт для поиска 10 самых крупных платежей клиентов с указанием идентификатора платежа, идентификатора клиента, суммы и даты платежа, отсортированных по сумме по убыванию","Скрипт для поиска 10 крупнейших платежей клиентов с указанием идентификатора платежа, идентификатора клиента, суммы и даты платежа, отсортированных по сумме по убыванию","Скрипт для формирования списка 10 самых крупных платежей клиентов с выводом идентификатора платежа, идентификатора клиента, суммы и даты платежа, отсортированного по сумме платежа по убыванию","Скрипт для вывода 5 наименьших платежей клиентов с указанием идентификатора платежа, суммы и даты, отсортированных по возрастанию суммы.","Для целей финансового мониторинга и выявления подозрительных операций клиентов необходимо получить перечень 10 крупнейших транзакций с указанием идентификаторов платежа и клиента, суммы и даты, упорядоченный по убыванию суммы.","Отобрать 5 наибольших по сумме платежей, совершённых в 2005 году, вывести идентификатор платежа, идентификатор клиента, сумму и дату платежа, упорядочить записи по убыванию суммы.",0,bafc8eab-f07b-54f0-8b98-225791ebb1d5-sql,014ae64a-c12a-5b5a-b27e-ae85d129fedc-sql;c075474a-2169-5a3a-99a8-db6ff1c22a29-sql;dd50b6ce-3ff2-5397-a29a-ce6dcd913bae-sql;a06aefd1-4dab-51f3-8aa4-eccc1ee41cbd-sql;758f6a5c-fb42-58c4-8bde-45004bd52662-sql,bafc8eab-f07b-54f0-8b98-225791ebb1d5-sql;2cbeb819-e994-520f-b0df-fd0cbff51808-sql;aaba7f4e-f0ff-5f8e-b937-feb2aebcb6ef-sql;e79c18bc-418f-5fd4-9972-7e34cd61cc4a-sql;014ae64a-c12a-5b5a-b27e-ae85d129fedc-sql,5259df29-82da-5d5f-99fd-a8b1042e7cbd-sql;aa228506-8c73-5dfa-82d6-658e4747cef5-sql;31e16f9a-eed8-51f5-b4a8-597df678d268-sql;aaba7f4e-f0ff-5f8e-b937-feb2aebcb6ef-sql;bafc8eab-f07b-54f0-8b98-225791ebb1d5-sql
sakila,"Показать 10 самых крупных платежей клиентов с указанием идентификатора платежа, идентификатора клиента, суммы и даты платежа, отсортировав по сумме по убыванию",easy,1f20ef88-9279-4248-9373-dd67f628e895,"Скрипт для поиска 10 самых крупных платежей клиентов с указанием идентификатора платежа, идентификатора клиента, суммы и даты платежа, отсортированных по сумме по убыванию","Скрипт для поиска 10 крупнейших платежей клиентов с указанием идентификатора платежа, идентификатора клиента, суммы и даты платежа, отсортированных по сумме по убыванию","Скрипт для формирования списка 10 самых крупных платежей клиентов с выводом идентификатора платежа, идентификатора клиента, суммы и даты платежа, отсортированного по сумме платежа по убыванию","Скрипт для отображения 5 платежей с наибольшей суммой, с указанием идентификатора платежа, клиента и суммы.","Для анализа крупных поступлений подготовить отчёт о пяти наибольших платежах клиентов с указанием идентификатора транзакции, кода клиента, суммы и даты операции, отсортировав по сумме по убыванию.","Вывести 5 самых крупных платежей за 2005 год, указав идентификатор платежа, идентификатор клиента, сумму и дату платежа, отсортировав по сумме по убыванию.",1,bafc8eab-f07b-54f0-8b98-225791ebb1d5-sql,c075474a-2169-5a3a-99a8-db6ff1c22a29-sql;bafc8eab-f07b-54f0-8b98-225791ebb1d5-sql;aaba7f4e-f0ff-5f8e-b937-feb2aebcb6ef-sql;014ae64a-c12a-5b5a-b27e-ae85d129fedc-sql;a06aefd1-4dab-51f3-8aa4-eccc1ee41cbd-sql,aaba7f4e-f0ff-5f8e-b937-feb2aebcb6ef-sql;bafc8eab-f07b-54f0-8b98-225791ebb1d5-sql;e79c18bc-418f-5fd4-9972-7e34cd61cc4a-sql;2cbeb819-e994-520f-b0df-fd0cbff51808-sql;5259df29-82da-5d5f-99fd-a8b1042e7cbd-sql,31e16f9a-eed8-51f5-b4a8-597df678d268-sql;5259df29-82da-5d5f-99fd-a8b1042e7cbd-sql;aa228506-8c73-5dfa-82d6-658e4747cef5-sql;aaba7f4e-f0ff-5f8e-b937-feb2aebcb6ef-sql;bafc8eab-f07b-54f0-8b98-225791ebb1d5-sql
sakila,"Показать 10 самых крупных платежей клиентов с указанием идентификатора платежа, идентификатора клиента, суммы и даты платежа, отсортировав по сумме по убыванию",easy,1f20ef88-9279-4248-9373-dd67f628e895,"Скрипт для поиска 10 самых крупных платежей клиентов с указанием идентификатора платежа, идентификатора клиента, суммы и даты платежа, отсортированных по сумме по убыванию","Скрипт для поиска 10 крупнейших платежей клиентов с указанием идентификатора платежа, идентификатора клиента, суммы и даты платежа, отсортированных по сумме по убыванию","Скрипт для формирования списка 10 самых крупных платежей клиентов с выводом идентификатора платежа, идентификатора клиента, суммы и даты платежа, отсортированного по сумме платежа по убыванию","Скрипт для вывода 5 самых дешёвых платежей клиентов с идентификатором платежа, идентификатором клиента и суммой, отсортированных по сумме по возрастанию.","Отобрать 10 крупнейших транзакций клиентов для контроля крупных списаний, с указанием идентификатора платежа, клиента, суммы и даты, отсортировав по убыванию суммы.","Вывести 10 платежей с наибольшей суммой, совершенных в 2005 году, с указанием идентификатора платежа, идентификатора клиента, суммы и даты, отсортировав по убыванию суммы.",2,bafc8eab-f07b-54f0-8b98-225791ebb1d5-sql,014ae64a-c12a-5b5a-b27e-ae85d129fedc-sql;c075474a-2169-5a3a-99a8-db6ff1c22a29-sql;dd50b6ce-3ff2-5397-a29a-ce6dcd913bae-sql;aaba7f4e-f0ff-5f8e-b937-feb2aebcb6ef-sql;a06aefd1-4dab-51f3-8aa4-eccc1ee41cbd-sql,bafc8eab-f07b-54f0-8b98-225791ebb1d5-sql;2cbeb819-e994-520f-b0df-fd0cbff51808-sql;aaba7f4e-f0ff-5f8e-b937-feb2aebcb6ef-sql;e79c18bc-418f-5fd4-9972-7e34cd61cc4a-sql;5259df29-82da-5d5f-99fd-a8b1042e7cbd-sql,5259df29-82da-5d5f-99fd-a8b1042e7cbd-sql;aa228506-8c73-5dfa-82d6-658e4747cef5-sql;31e16f9a-eed8-51f5-b4a8-597df678d268-sql;bafc8eab-f07b-54f0-8b98-225791ebb1d5-sql;aaba7f4e-f0ff-5f8e-b937-feb2aebcb6ef-sql
sakila,"Показать 20 последних платежей на сумму больше 5.00 с идентификатором клиента, суммой и датой платежа, отсортированных по дате платежа от новых к старым.",easy,58d71401-2b79-4c01-aa27-d796ade816e6,"Скрипт для поиска 20 последних платежей на сумму больше 5.00 с идентификатором клиента, суммой и датой платежа, отсортированных по дате платежа от новых к старым.","Скрипт для поиска 20 последних платежей на сумму свыше 5.00 с указанием идентификатора клиента, суммы и даты платежа, отсортированных по дате платежа от новых к старым.","Скрипт для поиска 20 последних платежей с суммой больше 5.00, с выводом идентификатора клиента, суммы и даты платежа, отсортированных по дате платежа от новых к старым.","Скрипт для вывода 15 последних платежей на сумму больше 3.00 с идентификатором клиента, суммой и датой платежа, отсортированных по дате платежа от новых к старым.","Для контроля мелких транзакций получить 30 последних платежей на сумму менее 1 доллара с идентификатором клиента, суммой и датой, отсортированных по убыванию даты.","Вывести 15 платежей с суммой не менее 8.00, указав идентификатор клиента, сумму и дату платежа, отсортировав записи по дате в порядке убывания.",0,c075474a-2169-5a3a-99a8-db6ff1c22a29-sql,c075474a-2169-5a3a-99a8-db6ff1c22a29-sql;014ae64a-c12a-5b5a-b27e-ae85d129fedc-sql;dd50b6ce-3ff2-5397-a29a-ce6dcd913bae-sql;70125e64-c3a3-5a78-945c-1db179627269-sql;a06aefd1-4dab-51f3-8aa4-eccc1ee41cbd-sql,dd50b6ce-3ff2-5397-a29a-ce6dcd913bae-sql;c075474a-2169-5a3a-99a8-db6ff1c22a29-sql;268c869d-a741-55ed-965a-f021d4493d25-sql;70125e64-c3a3-5a78-945c-1db179627269-sql;230ac9a2-0850-53ab-921f-d33653f910b0-sql,014ae64a-c12a-5b5a-b27e-ae85d129fedc-sql;dd50b6ce-3ff2-5397-a29a-ce6dcd913bae-sql;c35c933b-1acc-5e76-b8d0-0088106e46ad-sql;758f6a5c-fb42-58c4-8bde-45004bd52662-sql;70125e64-c3a3-5a78-945c-1db179627269-sql
sakila,"Показать 20 последних платежей на сумму больше 5.00 с идентификатором клиента, суммой и датой платежа, отсортированных по дате платежа от новых к старым.",easy,58d71401-2b79-4c01-aa27-d796ade816e6,"Скрипт для поиска 20 последних платежей на сумму больше 5.00 с идентификатором клиента, суммой и датой платежа, отсортированных по дате платежа от новых к старым.","Скрипт для поиска 20 последних платежей на сумму свыше 5.00 с указанием идентификатора клиента, суммы и даты платежа, отсортированных по дате платежа от новых к старым.","Скрипт для поиска 20 последних платежей с суммой больше 5.00, с выводом идентификатора клиента, суммы и даты платежа, отсортированных по дате платежа от новых к старым.","Скрипт для получения 25 последних платежей на сумму больше 7.50 с идентификатором клиента, суммой и датой платежа, отсортированных по дате по убыванию.","Скрипт предназначен для оперативного мониторинга крупных транзакций клиентов: выбирает 15 последних платежей на сумму свыше 7.00, выводит идентификатор клиента, сумму и дату платежа, сортируя по дате от новых к старым.","Показать 5 самых крупных платежей с указанием идентификатора клиента и даты, отсортированных по сумме по убыванию.",1,c075474a-2169-5a3a-99a8-db6ff1c22a29-sql,c075474a-2169-5a3a-99a8-db6ff1c22a29-sql;70125e64-c3a3-5a78-945c-1db179627269-sql;dd50b6ce-3ff2-5397-a29a-ce6dcd913bae-sql;7bd948b3-a57b-5182-b882-e638fc09454b-sql;014ae64a-c12a-5b5a-b27e-ae85d129fedc-sql,014ae64a-c12a-5b5a-b27e-ae85d129fedc-sql;dd50b6ce-3ff2-5397-a29a-ce6dcd913bae-sql;a06aefd1-4dab-51f3-8aa4-eccc1ee41cbd-sql;c075474a-2169-5a3a-99a8-db6ff1c22a29-sql;70125e64-c3a3-5a78-945c-1db179627269-sql,bafc8eab-f07b-54f0-8b98-225791ebb1d5-sql;aaba7f4e-f0ff-5f8e-b937-feb2aebcb6ef-sql;31e16f9a-eed8-51f5-b4a8-597df678d268-sql;5259df29-82da-5d5f-99fd-a8b1042e7cbd-sql;aa228506-8c73-5dfa-82d6-658e4747cef5-sql
sakila,"Показать 20 последних платежей на сумму больше 5.00 с идентификатором клиента, суммой и датой платежа, отсортированных по дате платежа от новых к старым.",easy,58d71401-2b79-4c01-aa27-d796ade816e6,"Скрипт для поиска 20 последних платежей на сумму больше 5.00 с идентификатором клиента, суммой и датой платежа, отсортированных по дате платежа от новых к старым.","Скрипт для поиска 20 последних платежей на сумму свыше 5.00 с указанием идентификатора клиента, суммы и даты платежа, отсортированных по дате платежа от новых к старым.","Скрипт для поиска 20 последних платежей с суммой больше 5.00, с выводом идентификатора клиента, суммы и даты платежа, отсортированных по дате платежа от новых к старым.","Скрипт для отображения 15 последних платежей с суммой больше 10.00 с идентификатором клиента, суммой и датой, отсортированных по дате от новых к старым.","Для контроля операционных расходов и выявления аномальных списаний требуется сформировать выборку последних 10 транзакций с суммой более 10.00, включающую идентификатор клиента, сумму и дату платежа, с сортировкой от наиболее свежих к старым.","Вывести 10 платежей с суммой от 0.99 до 4.99 включительно, указав идентификатор клиента, сумму и дату, отсортированных по дате от старых к новым.",2,c075474a-2169-5a3a-99a8-db6ff1c22a29-sql,014ae64a-c12a-5b5a-b27e-ae85d129fedc-sql;a06aefd1-4dab-51f3-8aa4-eccc1ee41cbd-sql;c075474a-2169-5a3a-99a8-db6ff1c22a29-sql;dd50b6ce-3ff2-5397-a29a-ce6dcd913bae-sql;7bd948b3-a57b-5182-b882-e638fc09454b-sql,014ae64a-c12a-5b5a-b27e-ae85d129fedc-sql;dd50b6ce-3ff2-5397-a29a-ce6dcd913bae-sql;a06aefd1-4dab-51f3-8aa4-eccc1ee41cbd-sql;268c869d-a741-55ed-965a-f021d4493d25-sql;230ac9a2-0850-53ab-921f-d33653f910b0-sql,014ae64a-c12a-5b5a-b27e-ae85d129fedc-sql;dd50b6ce-3ff2-5397-a29a-ce6dcd913bae-sql;a06aefd1-4dab-51f3-8aa4-eccc1ee41cbd-sql;c075474a-2169-5a3a-99a8-db6ff1c22a29-sql;230ac9a2-0850-53ab-921f-d33653f910b0-sql
sakila,"Показать 20 последних клиентских платежей на сумму более 9.00 с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортировав их по дате платежа от новых к старым.",easy,bbfd055c-6f48-4e0c-ae14-d3d9255b5335,"Скрипт для поиска 20 последних клиентских платежей на сумму более 9.00 с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортированных по дате платежа от новых к старым.","Скрипт для поиска 20 последних клиентских платежей на сумму более 9.00 с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа, отсортированных по дате платежа от новых к старым.","Скрипт для отбора 20 последних клиентских платежей с суммой больше 9.00, с выводом идентификатора платежа, клиента, сотрудника, суммы и даты платежа, упорядоченных по дате платежа от новых к старым.","Скрипт для получения 15 последних платежей на сумму менее 5.00 с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортированных по дате платежа от новых к старым.","Для еженедельной сверки кассовых операций сформировать список 20 последних транзакций на сумму свыше 9 долларов, указав идентификатор платежа, код клиента, ответственного сотрудника и дату операции, с сортировкой от самой новой к самой старой.","Выбрать из таблицы платежей 30 последних записей, где сумма платежа не менее 7.00, и вывести идентификатор платежа, идентификатор клиента, идентификатор сотрудника, сумму и дату платежа, отсортировав результат по дате платежа в порядке убывания.",0,230ac9a2-0850-53ab-921f-d33653f910b0-sql,c075474a-2169-5a3a-99a8-db6ff1c22a29-sql;dd50b6ce-3ff2-5397-a29a-ce6dcd913bae-sql;70125e64-c3a3-5a78-945c-1db179627269-sql;230ac9a2-0850-53ab-921f-d33653f910b0-sql;758f6a5c-fb42-58c4-8bde-45004bd52662-sql,dd50b6ce-3ff2-5397-a29a-ce6dcd913bae-sql;230ac9a2-0850-53ab-921f-d33653f910b0-sql;758f6a5c-fb42-58c4-8bde-45004bd52662-sql;70125e64-c3a3-5a78-945c-1db179627269-sql;7bd948b3-a57b-5182-b882-e638fc09454b-sql,dd50b6ce-3ff2-5397-a29a-ce6dcd913bae-sql;014ae64a-c12a-5b5a-b27e-ae85d129fedc-sql;70125e64-c3a3-5a78-945c-1db179627269-sql;758f6a5c-fb42-58c4-8bde-45004bd52662-sql;c075474a-2169-5a3a-99a8-db6ff1c22a29-sql
