i01,i02,i03,i04
SAVINGS,0.036,01,2020
RECURRING DEPOSITS,0.051,01,2020
PRIVILEGED_INTEREST_RATE,0.066,01,2020
Credit Card,0.081,01,2020
SAVINGS,0.037,02,2020
RECURRING DEPOSITS,0.052,02,2020
PRIVILEGED_INTEREST_RATE,0.067,02,2020
Credit Card,0.082,02,2020
SAVINGS,0.038,03,2020
RECURRING DEPOSITS,0.053,03,2020
PRIVILEGED_INTEREST_RATE,0.068,03,2020
Credit Card,0.083,03,2020
SAVINGS,0.035,04,2020
RECURRING DEPOSITS,0.050,04,2020
PRIVILEGED_INTEREST_RATE,0.065,04,2020
Credit Card,0.080,04,2020
SAVINGS,0.036,05,2020
RECURRING DEPOSITS,0.051,05,2020
PRIVILEGED_INTEREST_RATE,0.066,05,2020
Credit Card,0.081,05,2020
SAVINGS,0.037,06,2020
RECURRING DEPOSITS,0.052,06,2020
PRIVILEGED_INTEREST_RATE,0.067,06,2020
Credit Card,0.082,06,2020
SAVINGS,0.038,07,2020
RECURRING DEPOSITS,0.053,07,2020
PRIVILEGED_INTEREST_RATE,0.068,07,2020
Credit Card,0.083,07,2020
SAVINGS,0.035,08,2020
RECURRING DEPOSITS,0.050,08,2020
PRIVILEGED_INTEREST_RATE,0.065,08,2020
Credit Card,0.080,08,2020
SAVINGS,0.036,09,2020
RECURRING DEPOSITS,0.051,09,2020
PRIVILEGED_INTEREST_RATE,0.066,09,2020
Credit Card,0.081,09,2020
SAVINGS,0.037,10,2020
RECURRING DEPOSITS,0.052,10,2020
PRIVILEGED_INTEREST_RATE,0.067,10,2020
Credit Card,0.082,10,2020
SAVINGS,0.038,11,2020
RECURRING DEPOSITS,0.053,11,2020
PRIVILEGED_INTEREST_RATE,0.068,11,2020
Credit Card,0.083,11,2020
SAVINGS,0.035,12,2020
RECURRING DEPOSITS,0.050,12,2020
PRIVILEGED_INTEREST_RATE,0.065,12,2020
Credit Card,0.080,12,2020
SAVINGS,0.036,01,2021
RECURRING DEPOSITS,0.051,01,2021
PRIVILEGED_INTEREST_RATE,0.066,01,2021
Credit Card,0.081,01,2021
SAVINGS,0.037,02,2021
RECURRING DEPOSITS,0.052,02,2021
PRIVILEGED_INTEREST_RATE,0.067,02,2021
Credit Card,0.082,02,2021
SAVINGS,0.038,03,2021
RECURRING DEPOSITS,0.053,03,2021
PRIVILEGED_INTEREST_RATE,0.068,03,2021
Credit Card,0.083,03,2021
SAVINGS,0.035,04,2021
RECURRING DEPOSITS,0.050,04,2021
PRIVILEGED_INTEREST_RATE,0.065,04,2021
Credit Card,0.080,04,2021
SAVINGS,0.036,05,2021
RECURRING DEPOSITS,0.051,05,2021
PRIVILEGED_INTEREST_RATE,0.066,05,2021
Credit Card,0.081,05,2021
SAVINGS,0.037,06,2021
RECURRING DEPOSITS,0.052,06,2021
PRIVILEGED_INTEREST_RATE,0.067,06,2021
Credit Card,0.082,06,2021
SAVINGS,0.038,07,2021
RECURRING DEPOSITS,0.053,07,2021
PRIVILEGED_INTEREST_RATE,0.068,07,2021
Credit Card,0.083,07,2021
SAVINGS,0.035,08,2021
RECURRING DEPOSITS,0.050,08,2021
PRIVILEGED_INTEREST_RATE,0.065,08,2021
Credit Card,0.080,08,2021
SAVINGS,0.036,09,2021
RECURRING DEPOSITS,0.051,09,2021
PRIVILEGED_INTEREST_RATE,0.066,09,2021
Credit Card,0.081,09,2021
SAVINGS,0.037,10,2021
RECURRING DEPOSITS,0.052,10,2021
PRIVILEGED_INTEREST_RATE,0.067,10,2021
Credit Card,0.082,10,2021
SAVINGS,0.038,11,2021
RECURRING DEPOSITS,0.053,11,2021
PRIVILEGED_INTEREST_RATE,0.068,11,2021
Credit Card,0.083,11,2021
SAVINGS,0.035,12,2021
RECURRING DEPOSITS,0.050,12,2021
PRIVILEGED_INTEREST_RATE,0.065,12,2021
Credit Card,0.080,12,2021
SAVINGS,0.036,01,2022
RECURRING DEPOSITS,0.051,01,2022
PRIVILEGED_INTEREST_RATE,0.066,01,2022
Credit Card,0.081,01,2022
