ddl
"CREATE TABLE act ( -- Актёры фильмов.
  a01 numeric NOT NULL, -- Идентификатор актёра.
  a02 VARCHAR(45) NOT NULL, -- Имя актёра.
  a03 VARCHAR(45) NOT NULL, -- Фамилия актёра.
  a04 TIMESTAMP NOT NULL, -- Дата изменения записи.
  PRIMARY KEY (a01)
);"
"CREATE TABLE cnt ( -- Страны.
  c01 SMALLINT NOT NULL, -- Идентификатор страны.
  c02 VARCHAR(50) NOT NULL, -- Название страны.
  c03 TIMESTAMP, -- Дата изменения записи.
  PRIMARY KEY (c01)
);"
"CREATE TABLE cty ( -- Города.
  d01 int NOT NULL, -- Идентификатор города.
  d02 VARCHAR(50) NOT NULL, -- Название города.
  d03 SMALLINT NOT NULL, -- Идентификатор страны.
  d04 TIMESTAMP NOT NULL, -- Дата изменения записи.
  PRIMARY KEY (d01),
  CONSTRAINT fk_cty_cnt FOREIGN KEY (d03) REFERENCES cnt (c01) ON DELETE NO ACTION ON UPDATE CASCADE
);"
"CREATE TABLE adr ( -- Адреса.
  e01 int NOT NULL, -- Идентификатор адреса.
  e02 VARCHAR(50) NOT NULL, -- Адрес (строка 1).
  e03 VARCHAR(50) DEFAULT NULL, -- Адрес (строка 2).
  e04 VARCHAR(20) NOT NULL, -- Район округ.
  e05 INT NOT NULL, -- Идентификатор города.
  e06 VARCHAR(10) DEFAULT NULL, -- Почтовый индекс.
  e07 VARCHAR(20) NOT NULL, -- Телефон.
  e08 TIMESTAMP NOT NULL, -- Дата изменения записи.
  PRIMARY KEY (e01),
  CONSTRAINT fk_adr_cty FOREIGN KEY (e05) REFERENCES cty (d01) ON DELETE NO ACTION ON UPDATE CASCADE
);"
"CREATE TABLE lng ( -- Языки.
  f01 SMALLINT NOT NULL, -- Идентификатор языка.
  f02 CHAR(20) NOT NULL, -- Название языка.
  f03 TIMESTAMP NOT NULL, -- Дата изменения записи.
  PRIMARY KEY (f01)
);"
"CREATE TABLE cat ( -- Категории фильмов.
  g01 SMALLINT NOT NULL, -- Идентификатор категории.
  g02 VARCHAR(25) NOT NULL, -- Название категории.
  g03 TIMESTAMP NOT NULL, -- Дата изменения записи.
  PRIMARY KEY (g01)
);"
"CREATE TABLE cus ( -- Клиенты проката.
  h01 INT NOT NULL, -- Идентификатор клиента.
  h02 INT NOT NULL, -- Идентификатор магазина.
  h03 VARCHAR(45) NOT NULL, -- Имя клиента.
  h04 VARCHAR(45) NOT NULL, -- Фамилия клиента.
  h05 VARCHAR(50) DEFAULT NULL, -- Email клиента.
  h06 INT NOT NULL, -- Идентификатор адреса.
  h07 CHAR(1) DEFAULT 'Y' NOT NULL, -- Статус активности.
  h08 TIMESTAMP NOT NULL, -- Дата регистрации.
  h09 TIMESTAMP NOT NULL, -- Дата изменения записи.
  PRIMARY KEY (h01),
  CONSTRAINT fk_cus_sto FOREIGN KEY (h02) REFERENCES sto (j01) ON DELETE NO ACTION ON UPDATE CASCADE,
  CONSTRAINT fk_cus_adr FOREIGN KEY (h06) REFERENCES adr (e01) ON DELETE NO ACTION ON UPDATE CASCADE
);"
"CREATE TABLE flm ( -- Фильмы.
  i01 int NOT NULL, -- Идентификатор фильма.
  i02 VARCHAR(255) NOT NULL, -- Название фильма.
  i03 BLOB SUB_TYPE TEXT DEFAULT NULL, -- Описание фильма.
  i04 VARCHAR(4) DEFAULT NULL, -- Год выпуска.
  i05 SMALLINT NOT NULL, -- Идентификатор языка.
  i06 SMALLINT DEFAULT NULL, -- Идентификатор оригинала языка.
  i07 SMALLINT DEFAULT 3 NOT NULL, -- Длительность аренды (дни).
  i08 DECIMAL(4,2) DEFAULT 4.99 NOT NULL, -- Стоимость аренды.
  i09 SMALLINT DEFAULT NULL, -- Длительность фильма (минуты).
  i10 DECIMAL(5,2) DEFAULT 19.99 NOT NULL, -- Стоимость замены.
  i11 VARCHAR(10) DEFAULT 'G', -- Рейтинг MPAA.
  i12 VARCHAR(100) DEFAULT NULL, -- Особенности фильма.
  i13 TIMESTAMP NOT NULL, -- Дата изменения записи.
  PRIMARY KEY (i01),
  CONSTRAINT CHECK_flm_i12 CHECK(i12 is null OR i12 LIKE '%Trailers%' OR i12 LIKE '%Commentaries%' OR i12 LIKE '%Deleted Scenes%' OR i12 LIKE '%Behind the Scenes%'),
  CONSTRAINT CHECK_flm_i11 CHECK(i11 IN ('G','PG','PG-13','R','NC-17')),
  CONSTRAINT fk_flm_lng FOREIGN KEY (i05) REFERENCES lng (f01),
  CONSTRAINT fk_flm_lng_original FOREIGN KEY (i06) REFERENCES lng (f01)
);"
"CREATE TABLE fla ( -- Связь фильмов и актёров.
  k01 INT NOT NULL, -- Идентификатор актёра.
  k02 INT NOT NULL, -- Идентификатор фильма.
  k03 TIMESTAMP NOT NULL, -- Дата изменения записи.
  PRIMARY KEY (k01, k02),
  CONSTRAINT fk_fla_act FOREIGN KEY (k01) REFERENCES act (a01) ON DELETE NO ACTION ON UPDATE CASCADE,
  CONSTRAINT fk_fla_flm FOREIGN KEY (k02) REFERENCES flm (i01) ON DELETE NO ACTION ON UPDATE CASCADE
);"
"CREATE TABLE flc ( -- Связь фильмов и категорий.
  l01 INT NOT NULL, -- Идентификатор фильма.
  l02 SMALLINT NOT NULL, -- Идентификатор категории.
  l03 TIMESTAMP NOT NULL, -- Дата изменения записи.
  PRIMARY KEY (l01, l02),
  CONSTRAINT fk_flc_flm FOREIGN KEY (l01) REFERENCES flm (i01) ON DELETE NO ACTION ON UPDATE CASCADE,
  CONSTRAINT fk_flc_cat FOREIGN KEY (l02) REFERENCES cat (g01) ON DELETE NO ACTION ON UPDATE CASCADE
);"
"CREATE TABLE flt ( -- Текстовая таблица для полнотекстового поиска.
  m01 SMALLINT NOT NULL, -- Идентификатор фильма.
  m02 VARCHAR(255) NOT NULL, -- Название фильма.
  m03 BLOB SUB_TYPE TEXT, -- Описание фильма.
  PRIMARY KEY (m01)
);"
"CREATE TABLE inv ( -- Инвентарь копии фильмов.
  n01 INT NOT NULL, -- Идентификатор копии.
  n02 INT NOT NULL, -- Идентификатор фильма.
  n03 INT NOT NULL, -- Идентификатор магазина.
  n04 TIMESTAMP NOT NULL, -- Дата изменения записи.
  PRIMARY KEY (n01),
  CONSTRAINT fk_inv_sto FOREIGN KEY (n03) REFERENCES sto (j01) ON DELETE NO ACTION ON UPDATE CASCADE,
  CONSTRAINT fk_inv_flm FOREIGN KEY (n02) REFERENCES flm (i01) ON DELETE NO ACTION ON UPDATE CASCADE
);"
"CREATE TABLE stf ( -- Сотрудники проката.
  o01 SMALLINT NOT NULL, -- Идентификатор сотрудника.
  o02 VARCHAR(45) NOT NULL, -- Имя сотрудника.
  o03 VARCHAR(45) NOT NULL, -- Фамилия сотрудника.
  o04 INT NOT NULL, -- Идентификатор адреса.
  o05 BLOB DEFAULT NULL, -- Фотография.
  o06 VARCHAR(50) DEFAULT NULL, -- Email сотрудника.
  o07 INT NOT NULL, -- Идентификатор магазина.
  o08 SMALLINT DEFAULT 1 NOT NULL, -- Статус активности.
  o09 VARCHAR(16) NOT NULL, -- Логин.
  o10 VARCHAR(40) DEFAULT NULL, -- Пароль.
  o11 TIMESTAMP NOT NULL, -- Дата изменения записи.
  PRIMARY KEY (o01),
  CONSTRAINT fk_stf_sto FOREIGN KEY (o07) REFERENCES sto (j01) ON DELETE NO ACTION ON UPDATE CASCADE,
  CONSTRAINT fk_stf_adr FOREIGN KEY (o04) REFERENCES adr (e01) ON DELETE NO ACTION ON UPDATE CASCADE
);"
"CREATE TABLE sto ( -- Магазины проката.
  j01 INT NOT NULL, -- Идентификатор магазина.
  j02 SMALLINT NOT NULL, -- Идентификатор менеджера.
  j03 INT NOT NULL, -- Идентификатор адреса.
  j04 TIMESTAMP NOT NULL, -- Дата изменения записи.
  PRIMARY KEY (j01),
  CONSTRAINT fk_sto_stf FOREIGN KEY (j02) REFERENCES stf (o01),
  CONSTRAINT fk_sto_adr FOREIGN KEY (j03) REFERENCES adr (e01)
);"
"CREATE TABLE pay ( -- Платежи клиентов.
  p01 int NOT NULL, -- Идентификатор платежа.
  p02 INT NOT NULL, -- Идентификатор клиента.
  p03 SMALLINT NOT NULL, -- Идентификатор сотрудника.
  p04 INT DEFAULT NULL, -- Идентификатор аренды.
  p05 DECIMAL(5,2) NOT NULL, -- Сумма платежа.
  p06 TIMESTAMP NOT NULL, -- Дата платежа.
  p07 TIMESTAMP NOT NULL, -- Дата изменения записи.
  PRIMARY KEY (p01),
  CONSTRAINT fk_pay_ren FOREIGN KEY (p04) REFERENCES ren (q01) ON DELETE SET NULL ON UPDATE CASCADE,
  CONSTRAINT fk_pay_cus FOREIGN KEY (p02) REFERENCES cus (h01),
  CONSTRAINT fk_pay_stf FOREIGN KEY (p03) REFERENCES stf (o01)
);"
"CREATE TABLE ren ( -- Аренда фильмов.
  q01 INT NOT NULL, -- Идентификатор аренды.
  q02 TIMESTAMP NOT NULL, -- Дата выдачи.
  q03 INT NOT NULL, -- Идентификатор копии.
  q04 INT NOT NULL, -- Идентификатор клиента.
  q05 TIMESTAMP DEFAULT NULL, -- Дата возврата.
  q06 SMALLINT NOT NULL, -- Идентификатор сотрудника.
  q07 TIMESTAMP NOT NULL, -- Дата изменения записи.
  PRIMARY KEY (q01),
  CONSTRAINT fk_ren_stf FOREIGN KEY (q06) REFERENCES stf (o01),
  CONSTRAINT fk_ren_inv FOREIGN KEY (q03) REFERENCES inv (n01),
  CONSTRAINT fk_ren_cus FOREIGN KEY (q04) REFERENCES cus (h01)
);"
